10-12-2015 03:24:50 |--| STATUS : ERROR |--| CODE : nn |--| RATE : B2-CREDITCARD-8000 |--| COMPTElogin : test
10-12-2015 11:54:56 |--| STATUS : OK |--| CODE : qwd7b6as |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : nagazaki
10-12-2015 12:10:39 |--| STATUS : OK |--| CODE : itwt3fus |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : petitdav
10-12-2015 12:17:22 |--| STATUS : ERROR |--| CODE : 89U7M7N |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : xxxkantoumn60
10-12-2015 12:17:55 |--| STATUS : OK |--| CODE : 89U7M7NG |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : xxxkantoumn60
10-12-2015 12:18:54 |--| STATUS : OK |--| CODE : A73UE1FG |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : xxxkantoumn60
10-12-2015 12:19:42 |--| STATUS : OK |--| CODE : WT4JRNPG |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : xxxkantoumn60
10-12-2015 12:29:08 |--| STATUS : OK |--| CODE : hlnj9qls |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : petitdav
10-12-2015 12:30:21 |--| STATUS : OK |--| CODE : arm7i7ts |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : petitdav
10-12-2015 12:39:55 |--| STATUS : OK |--| CODE : d8an7gig |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : petitdav
10-12-2015 12:41:51 |--| STATUS : OK |--| CODE : l17juc6g |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : petitdav
10-12-2015 12:43:54 |--| STATUS : OK |--| CODE : glp23big |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : petitdav
10-12-2015 12:45:41 |--| STATUS : OK |--| CODE : C632GB59 |--| RATE : B2-CREDITCARD-3500 |--| COMPTElogin : 4a9ff0b5b
10-12-2015 12:46:25 |--| STATUS : OK |--| CODE : ngfkpflg |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : petitdav
10-12-2015 13:43:23 |--| STATUS : OK |--| CODE : 81autmus |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : Axelsacri
10-12-2015 13:44:08 |--| STATUS : OK |--| CODE : gjz1ufhs |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : Axelsacri
10-12-2015 13:46:38 |--| STATUS : OK |--| CODE : C5WHB9XS |--| RATE : B2-CREDITCARD-500 |--| COMPTElogin : Neo82
10-12-2015 14:08:37 |--| STATUS : OK |--| CODE : C7PBVSX3 |--| RATE : B2-CREDITCARD-2000 |--| COMPTElogin : 4a9ff0b5b
10-12-2015 14:24:44 |--| STATUS : ERROR |--| CODE : PBRS9WKV |--| RATE : B2-CREDITCARD-2000 |--| COMPTElogin : tictacbomm491
10-12-2015 15:07:08 |--| STATUS : OK |--| CODE : iu2ue2wg |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : pierre64190
10-12-2015 15:07:13 |--| STATUS : OK |--| CODE : g9wgu17g |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : pierre64190
10-12-2015 15:07:22 |--| STATUS : OK |--| CODE : 4c6gkq9g |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : pierre64190
10-12-2015 15:07:27 |--| STATUS : OK |--| CODE : k4kteuug |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : pierre64190
10-12-2015 15:17:54 |--| STATUS : OK |--| CODE : 7lwikm4g |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : pierre64190
10-12-2015 15:20:46 |--| STATUS : OK |--| CODE : ze3zuutg |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : Etilium07
10-12-2015 15:21:56 |--| STATUS : OK |--| CODE : rwr6umfg |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : Etilium07
10-12-2015 15:33:50 |--| STATUS : OK |--| CODE : uiwrawjg |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : kalisma
10-12-2015 15:37:38 |--| STATUS : ERROR |--| CODE : dsfffgq |--| RATE : AL-BE-AUDIOTEL-850 |--| COMPTElogin : foufou_vrs
10-12-2015 15:46:10 |--| STATUS : OK |--| CODE : dugg16ug |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : Etilium07
10-12-2015 15:47:15 |--| STATUS : OK |--| CODE : cj6dkb7g |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : Etilium07
10-12-2015 15:49:48 |--| STATUS : OK |--| CODE : H7eudccg |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : kadir57
10-12-2015 15:51:28 |--| STATUS : OK |--| CODE : iui879eg |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : kadir57
10-12-2015 15:52:54 |--| STATUS : OK |--| CODE : j2d8h2ws |--| RATE : RE-FR-SMS-300 |--| COMPTElogin : kadir57
10-12-2015 16:33:16 |--| STATUS : OK |--| CODE : uk2piu7s |--| RATE : RE-FR-SMS-300 |--| COMPTElogin : moveteam
10-12-2015 16:34:35 |--| STATUS : ERROR |--| CODE : 4273 |--| RATE : B2-CREDITCARD-150 |--| COMPTElogin : Patlou_bobo5
10-12-2015 16:36:34 |--| STATUS : ERROR |--| CODE : 4273 |--| RATE : B2-CREDITCARD-150 |--| COMPTElogin : Patlou_bobo5
10-12-2015 16:45:36 |--| STATUS : OK |--| CODE : ufwkp1ws |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : sabatounette
10-12-2015 16:46:07 |--| STATUS : OK |--| CODE : f7tua99s |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : sabatounette
10-12-2015 16:46:32 |--| STATUS : OK |--| CODE : wnw32bcs |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : sabatounette
10-12-2015 16:50:04 |--| STATUS : OK |--| CODE : tug3fm9s |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : sabatounette
10-12-2015 17:20:39 |--| STATUS : OK |--| CODE : mz7c2urg |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : YaMinoKuNi
10-12-2015 17:38:59 |--| STATUS : OK |--| CODE : aiu9ugis |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : mrkr4cker1
10-12-2015 17:47:14 |--| STATUS : ERROR |--| CODE : g25g47f |--| RATE : RE-FR-AUDIOTEL-200 |--| COMPTElogin : houd1
10-12-2015 17:47:22 |--| STATUS : ERROR |--| CODE : 445565 |--| RATE : RE-FR-AUDIOTEL-200 |--| COMPTElogin : houd1
10-12-2015 17:54:18 |--| STATUS : ERROR |--| CODE : 355048 |--| RATE : B2-CREDITCARD-500 |--| COMPTElogin : redwane01
10-12-2015 17:54:27 |--| STATUS : ERROR |--| CODE : 355049 |--| RATE : B2-CREDITCARD-500 |--| COMPTElogin : redwane01
10-12-2015 17:54:33 |--| STATUS : ERROR |--| CODE : 35507 |--| RATE : B2-CREDITCARD-500 |--| COMPTElogin : redwane01
10-12-2015 17:56:22 |--| STATUS : OK |--| CODE : t6rbzazs |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : aerojerome02
10-12-2015 17:59:21 |--| STATUS : ERROR |--| CODE : 7jzk3wgs |--| RATE : RE-FR-SMS-150 |--| COMPTElogin : aerojerome02
10-12-2015 18:00:23 |--| STATUS : ERROR |--| CODE : 7jsk3wgs |--| RATE : RE-FR-SMS-150 |--| COMPTElogin : aerojerome02
10-12-2015 18:02:36 |--| STATUS : ERROR |--| CODE : 7jzk3wgs |--| RATE : RE-FR-SMS-150 |--| COMPTElogin : aerojerome02
10-12-2015 18:10:26 |--| STATUS : OK |--| CODE : u1ihhwjs |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : Davjack
10-12-2015 18:14:57 |--| STATUS : ERROR |--| CODE : 1458 |--| RATE : PAYPAL-10000 |--| COMPTElogin : mk_amrou
10-12-2015 18:23:11 |--| STATUS : OK |--| CODE : 7jzk3wgs |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : aerojerome02
10-12-2015 18:25:41 |--| STATUS : OK |--| CODE : C32XN7SU |--| RATE : B2-CREDITCARD-2500 |--| COMPTElogin : Neo82000
10-12-2015 18:26:47 |--| STATUS : OK |--| CODE : C3Q69VAC |--| RATE : B2-CREDITCARD-1000 |--| COMPTElogin : sebosuna
10-12-2015 18:39:54 |--| STATUS : OK |--| CODE : CZTCDPRV |--| RATE : B2-CREDITCARD-800 |--| COMPTElogin : Neo82000
10-12-2015 18:42:43 |--| STATUS : OK |--| CODE : i777lujs |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : pommealpha57
10-12-2015 18:43:17 |--| STATUS : OK |--| CODE : 974719ds |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : pommealpha57
10-12-2015 18:47:02 |--| STATUS : OK |--| CODE : cu3ms6qt |--| RATE : B2-CREDITCARD-1000 |--| COMPTElogin : pierreshadow
10-12-2015 18:48:48 |--| STATUS : OK |--| CODE : 7rupj7fs |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : nosliw2143
10-12-2015 18:53:33 |--| STATUS : OK |--| CODE : CPJK7F3H |--| RATE : B2-CREDITCARD-2000 |--| COMPTElogin : 4a9ff0b5b
10-12-2015 18:56:08 |--| STATUS : ERROR |--| CODE : wdp87gs |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : rheida5400
10-12-2015 18:56:33 |--| STATUS : OK |--| CODE : wdpd87gs |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : rheida5400
10-12-2015 19:13:11 |--| STATUS : OK |--| CODE : utdu7nus |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : Jonathan62221r
10-12-2015 19:21:07 |--| STATUS : OK |--| CODE : pi7hhjus |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : Heiik4
10-12-2015 19:22:14 |--| STATUS : OK |--| CODE : uhpffuzs |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : Heiik4
10-12-2015 19:22:56 |--| STATUS : OK |--| CODE : pruwb6ps |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : Heiik4
10-12-2015 19:25:02 |--| STATUS : OK |--| CODE : 37l9tq7g |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : Splash78
10-12-2015 19:26:04 |--| STATUS : OK |--| CODE : wkrhzz7g |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : Splash78
10-12-2015 20:06:01 |--| STATUS : ERROR |--| CODE : c718us7us |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : testb
10-12-2015 20:06:45 |--| STATUS : ERROR |--| CODE : c718u7us |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : testb
10-12-2015 20:07:22 |--| STATUS : ERROR |--| CODE : c718us7us |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : testb
10-12-2015 20:07:42 |--| STATUS : ERROR |--| CODE : c718us4ed |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : testb
10-12-2015 20:08:42 |--| STATUS : ERROR |--| CODE : c718us7us |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : testb
10-12-2015 20:10:24 |--| STATUS : ERROR |--| CODE : c718us7us |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : testb
10-12-2015 20:35:30 |--| STATUS : ERROR |--| CODE : c718us7us |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : testb
10-12-2015 20:36:30 |--| STATUS : OK |--| CODE : c7L8U7US |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : testb
10-12-2015 21:00:13 |--| STATUS : OK |--| CODE : e446u92g |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : Splash78
10-12-2015 21:01:09 |--| STATUS : OK |--| CODE : 8tkcuh3g |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : Splash78
10-12-2015 21:01:33 |--| STATUS : OK |--| CODE : 8euzafus |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : dylannervosi123
10-12-2015 21:02:34 |--| STATUS : OK |--| CODE : 97zbur7s |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : dylannervosi123
10-12-2015 21:04:02 |--| STATUS : OK |--| CODE : rg9pn4ts |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : dylannervosi123
10-12-2015 21:05:32 |--| STATUS : OK |--| CODE : l4dumu8s |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : dylannervosi123
10-12-2015 21:06:31 |--| STATUS : OK |--| CODE : 2kru2hhs |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : dylannervosi123
10-12-2015 21:22:12 |--| STATUS : ERROR |--| CODE : 1234 |--| RATE : PAYPAL-1500 |--| COMPTElogin : nosferatu
10-12-2015 21:25:51 |--| STATUS : OK |--| CODE : u3hwmdas |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : Miniporc14
10-12-2015 21:27:04 |--| STATUS : OK |--| CODE : 4gt1eaes |--| RATE : RE-FR-SMS-200 |--| COMPTElogin : Miniporc14
10-12-2015 21:37:19 |--| STATUS : OK |--| CODE : 1f7l4i7g |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : david57950
10-12-2015 21:44:24 |--| STATUS : OK |--| CODE : rp3j4qrs |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : Axelsacri
10-12-2015 21:45:17 |--| STATUS : OK |--| CODE : C4U8XN9M |--| RATE : B2-CREDITCARD-1000 |--| COMPTElogin : breizhier56400
10-12-2015 21:45:27 |--| STATUS : OK |--| CODE : 1uwudw2s |--| RATE : RE-FR-SMS-300 |--| COMPTElogin : Axelsacri
10-12-2015 22:24:45 |--| STATUS : ERROR |--| CODE : C5QAGHYM |--| RATE : RE-FR-SMS-300 |--| COMPTElogin : dirks
10-12-2015 22:25:50 |--| STATUS : OK |--| CODE : K42U613S |--| RATE : RE-FR-SMS-300 |--| COMPTElogin : dirks
10-12-2015 22:52:57 |--| STATUS : ERROR |--| CODE : HWEZLUUG |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : Bksteam1
10-12-2015 22:54:04 |--| STATUS : OK |--| CODE : HWEZNUUG |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : Bksteam1
10-12-2015 22:55:07 |--| STATUS : OK |--| CODE : QWBZ1WTG |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : Bksteam1
10-12-2015 22:59:25 |--| STATUS : OK |--| CODE : chj7le2g |--| RATE : RE-FR-AUDIOTEL-200 |--| COMPTElogin : Ryvened
10-12-2015 23:00:16 |--| STATUS : ERROR |--| CODE : 9ahua8q |--| RATE : RE-FR-AUDIOTEL-200 |--| COMPTElogin : Ryvened
10-12-2015 23:00:35 |--| STATUS : ERROR |--| CODE : 9ahua8g |--| RATE : RE-FR-AUDIOTEL-200 |--| COMPTElogin : Ryvened
10-12-2015 23:00:45 |--| STATUS : OK |--| CODE : 9ahua8qg |--| RATE : RE-FR-AUDIOTEL-200 |--| COMPTElogin : Ryvened
10-12-2015 23:05:46 |--| STATUS : OK |--| CODE : C5EYMDWU |--| RATE : B2-CREDITCARD-700 |--| COMPTElogin : Neo82000
10-12-2015 23:36:04 |--| STATUS : OK |--| CODE : CST6ZA24 |--| RATE : B2-CREDITCARD-1000 |--| COMPTElogin : breizhier56400
10-12-2015 23:39:24 |--| STATUS : OK |--| CODE : CMVS6UFB |--| RATE : B2-CREDITCARD-2500 |--| COMPTElogin : tivolla
10-12-2015 23:42:51 |--| STATUS : OK |--| CODE : 45kxt969 |--| RATE : AL-CA-AUDIOTEL-1500 |--| COMPTElogin : yololo8
10-12-2015 23:44:38 |--| STATUS : ERROR |--| CODE : G3MLR49J |--| RATE : EU-ANRE-SMS-150 |--| COMPTElogin : felix971
10-12-2015 23:44:51 |--| STATUS : ERROR |--| CODE : G3MLR49J |--| RATE : RE-FR-AUDIOTEL-200 |--| COMPTElogin : felix971
10-12-2015 23:45:04 |--| STATUS : ERROR |--| CODE : G3MLR49J |--| RATE : EU-ANRE-SMS-150 |--| COMPTElogin : felix971
10-12-2015 23:46:05 |--| STATUS : OK |--| CODE : G3MLR49J |--| RATE : EU-ANRE-SMS-300 |--| COMPTElogin : felix971
10-12-2015 23:48:48 |--| STATUS : OK |--| CODE : 85kgb747 |--| RATE : AL-CA-AUDIOTEL-1500 |--| COMPTElogin : yololo8
10-12-2015 23:49:50 |--| STATUS : ERROR |--| CODE : 23412 |--| RATE : B2-CREDITCARD-10000 |--| COMPTElogin : Heromen7
10-12-2015 23:49:59 |--| STATUS : ERROR |--| CODE : 6gtyf5 |--| RATE : B2-CREDITCARD-10000 |--| COMPTElogin : Heromen7
10-12-2015 23:50:05 |--| STATUS : ERROR |--| CODE : 22222 |--| RATE : B2-CREDITCARD-10000 |--| COMPTElogin : Heromen7
10-12-2015 23:50:19 |--| STATUS : ERROR |--| CODE : 34r54r2 |--| RATE : B2-CREDITCARD-10000 |--| COMPTElogin : Heromen7
10-12-2015 23:50:29 |--| STATUS : ERROR |--| CODE : h7g6f65fd |--| RATE : B2-CREDITCARD-10000 |--| COMPTElogin : Heromen7
10-12-2015 23:50:36 |--| STATUS : ERROR |--| CODE : 103745h |--| RATE : B2-CREDITCARD-10000 |--| COMPTElogin : Heromen7
10-12-2015 23:50:43 |--| STATUS : ERROR |--| CODE : 564576 |--| RATE : B2-CREDITCARD-10000 |--| COMPTElogin : Heromen7
10-12-2015 23:50:58 |--| STATUS : ERROR |--| CODE : 76g6fd |--| RATE : PAYPAL-10000 |--| COMPTElogin : Heromen7
11-12-2015 00:44:09 |--| STATUS : OK |--| CODE : u62kuffs |--| RATE : RE-FR-SMS-300 |--| COMPTElogin : Keezo33
11-12-2015 01:33:43 |--| STATUS : OK |--| CODE : 2mog3577 |--| RATE : AL-CA-AUDIOTEL-1500 |--| COMPTElogin : zachary79
11-12-2015 01:51:10 |--| STATUS : OK |--| CODE : 8cf4ktgs |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : Pichiz57
11-12-2015 01:51:55 |--| STATUS : OK |--| CODE : 33hnutjs |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : Pichiz57
11-12-2015 01:57:21 |--| STATUS : OK |--| CODE : 8bln9849 |--| RATE : AL-CA-AUDIOTEL-1500 |--| COMPTElogin : zachary79
11-12-2015 02:08:08 |--| STATUS : OK |--| CODE : cupw3ews |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : Pichiz57
11-12-2015 02:11:06 |--| STATUS : OK |--| CODE : fedn4dds |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : loanns3
11-12-2015 02:16:22 |--| STATUS : OK |--| CODE : tu8wbwls |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : valdthebossss
11-12-2015 02:16:57 |--| STATUS : OK |--| CODE : 8atpitqs |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : valdthebossss
11-12-2015 02:17:11 |--| STATUS : OK |--| CODE : wwewzqls |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : loanns3
11-12-2015 02:17:26 |--| STATUS : OK |--| CODE : pduhhcks |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : valdthebossss
11-12-2015 02:23:05 |--| STATUS : OK |--| CODE : ekuqrbqg |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : Kalvin94
11-12-2015 02:24:11 |--| STATUS : OK |--| CODE : q1u2p7qg |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : Kalvin94
11-12-2015 02:25:11 |--| STATUS : OK |--| CODE : 6hug87qg |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : Kalvin94
11-12-2015 02:27:25 |--| STATUS : OK |--| CODE : n72q6mfg |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : Kalvin94
11-12-2015 02:28:40 |--| STATUS : OK |--| CODE : 7pmi4mqg |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : Kalvin94
11-12-2015 02:36:51 |--| STATUS : OK |--| CODE : z4lhdu2s |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : valdthebos
11-12-2015 02:42:55 |--| STATUS : OK |--| CODE : abl7hf1g |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : Kalvin94
11-12-2015 02:43:54 |--| STATUS : OK |--| CODE : p3e6caug |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : Kalvin94
11-12-2015 02:45:57 |--| STATUS : OK |--| CODE : rf2uf24s |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : valdthebos
11-12-2015 02:46:23 |--| STATUS : OK |--| CODE : uwk3lb1s |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : valdthebos
11-12-2015 02:51:34 |--| STATUS : OK |--| CODE : imuumuzs |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : loanns3
11-12-2015 02:56:31 |--| STATUS : ERROR |--| CODE :  7mb23825 |--| RATE : RE-FR-AUDIOTEL-250 |--| COMPTElogin : meli5555
11-12-2015 02:57:16 |--| STATUS : ERROR |--| CODE : 7mb23825 |--| RATE : AL-CA-AUDIOTEL-700 |--| COMPTElogin : zachary79
11-12-2015 02:57:35 |--| STATUS : ERROR |--| CODE : 7mb23825 |--| RATE : AL-CA-AUDIOTEL-700 |--| COMPTElogin : zachary79
11-12-2015 02:57:54 |--| STATUS : ERROR |--| CODE :  7mb23825 |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : meli5555
11-12-2015 02:58:00 |--| STATUS : ERROR |--| CODE :  7mb23825 |--| RATE : RE-FR-AUDIOTEL-200 |--| COMPTElogin : meli5555
11-12-2015 02:58:45 |--| STATUS : ERROR |--| CODE : 7mb23825 |--| RATE : RE-FR-AUDIOTEL-200 |--| COMPTElogin : meli5555
11-12-2015 02:58:59 |--| STATUS : ERROR |--| CODE : 7mb2382 |--| RATE : AL-CA-AUDIOTEL-700 |--| COMPTElogin : zachary79
11-12-2015 02:59:11 |--| STATUS : ERROR |--| CODE :  7mb23825 |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : meli5555
11-12-2015 03:00:01 |--| STATUS : ERROR |--| CODE : 7MB23825 |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : meli5555
11-12-2015 03:01:31 |--| STATUS : OK |--| CODE : gd7aaeus |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : valdthebos
11-12-2015 03:01:47 |--| STATUS : OK |--| CODE : 1jnugwzs |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : valdthebos
11-12-2015 03:02:45 |--| STATUS : ERROR |--| CODE : 7mb23825 |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : meli5555
11-12-2015 03:04:05 |--| STATUS : ERROR |--| CODE : 7MB23825 |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : meli5555
11-12-2015 03:05:01 |--| STATUS : ERROR |--| CODE : 7mb23825 |--| RATE : PAYPAL-700 |--| COMPTElogin : meli5555
